"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C35,C40";"CP_Elec_8x10.5";2;"100uF";;;
2;"C30,C27,C29";"CP_Elec_10x10";3;"470uF";;;
3;"C1,C37,C42";"C_0805";3;"4u7";;;
4;"SC1,SC2,SC3,SC4";"mtg_hole_3mm_vias_2";4;"SCREW";;;
5;"U1";"XCVR_MC60";1;"MC60_0";;;
6;"AE1";"ant_bt_inpaq5036";1;"ANT_BT";;;
7;"J1";"Test_Point_Pad_2.0x2.0mm";1;"B_LS_N";;;
8;"J2";"Test_Point_Pad_2.0x2.0mm";1;"B_VRTC";;;
9;"J3";"Test_Point_Pad_2.0x2.0mm";1;"B_SPKP";;;
10;"J4";"Test_Point_Pad_2.0x2.0mm";1;"B_SPKN";;;
11;"J5";"Test_Point_Pad_2.0x2.0mm";1;"B_ADC";;;
12;"Q3,Q1,Q2";"SOT-323_SC-70";3;"DTC114E";;;
13;"H1";"Pin_Header_Straight_1x03";1;"UART_DBG";;;
14;"H4";"Pin_Header_Straight_1x03";1;"ON<>OFF";;;
15;"JP1";"Pin_Header_Straight_1x03_Pitch1.27mm";1;"3V3_EXT<>5V";;;
16;"C9,C8,C10,C11,C13,C18,C20,C22,C24,C33";"C_0402_NoSilk";10;"33pF";;;
17;"C6,C2,C3,C4,C5,C7";"C_0603";6;"10pF_DNP";;;
18;"C12,C15,C26,C38,C43";"C_0805";5;"10uF";;;
19;"C31";"C_0603";1;"1uF";;;
20;"CN3";"microsd-9-suntech-ST-TF-003A";1;"SD_CARD";;;
21;"CN4";"conn_microSIM_320100004";1;"SIM_Card";;;
22;"CN5";"AUDIO8P-SMD-3.5-14.5X6X5MM";1;"Audio-Jack-4";;;
23;"D1,D4";"SLP1616P6";2;"RClamp0854P.TCT";;;
24;"D2";"LED_0603";1;"LED_NET";;;
25;"D3";"LED_0603";1;"LED_FIX";;;
26;"D5,D6";"D_SOD-923";2;"ESD9B5.0ST5G";;;
27;"D7";"D_SOD-128";1;"PDZVTR5.1B";;;
28;"D8";"LED_0603";1;"LED_PWR";;;
29;"H2";"Pin_Header_Straight_2x04";1;"UART";;;
30;"Q4";"SOT-323_SC-70";1;"DTC143ZUA";;;
31;"R1,R5";"R_0603";2;"100k";;;
32;"R6,R7,R10";"R_0603";3;"22E";;;
33;"R8,R18";"R_0603";2;"390E";;;
34;"R9";"R_0603";1;"270E";;;
35;"R14";"R_0603";1;"10k";;;
36;"R16";"R_0603";1;"51k";;;
37;"R17";"R_0603";1;"124k";;;
38;"R19";"R_0603";1;"56k";;;
39;"R20";"R_0603";1;"47k";;;
40;"U2";"TSSOP-20_4.4x6.5mm_Pitch0.65mm";1;"TXB0108PWR";;;
41;"U3";"TO-252-5_TabPin3";1;"MIC29302";;;
42;"U4";"SOT-23-5";1;"LP5907-3V3";;;
43;"U5";"SOT-23-5";1;"LP5907-2V8";;;
44;"C14,C19,C21,C23,C25,C34";"C_0402_NoSilk";6;"10pF";;;
45;"C16,C17,C28,C32,C36,C39,C41,C44";"C_0402_NoSilk";8;"100nF";;;
46;"CN1";"Molex_Microcoaxial_RF";1;"Conn_GPS";;;
47;"CN2";"Molex_Microcoaxial_RF";1;"Conn_GNSS";;;
48;"R2,R3,R4,R11,R12,R13,R15";"R_0402_NoSilk";7;"0E";;;
49;"S1";"SW_SPST_DTSM";1;"SW-ON";;;
50;"CN6";"conn_screw_2.54mm_2pol";1;"5V_IN";;;
51;"JP2";"Pin_Header_Straight_1x03_Pitch1.27mm";1;"GSM_PWR_EN";;;
52;"H3";"Pin_Header_Straight_1x03";1;"3V3_EXT";;;
53;"G1";"Logo_silk_OSHW_6x6mm";1;"OSHW";;;
54;"G2";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad";;;
55;"G3";"Logo-WL3";1;"LOGO_WL";;;
