Reference, Value, Footprint, Datasheet, manf#, Field10, Field11, Field4, Field5, Field6, Field7, Field8, Field9
"U1","MC60_0","mc60_fp:XCVR_MC60","MC60"
"CN3","SD_CARD","mc60_fp:microsd-9-suntech-ST-TF-003A","","mfr_pn","","","","","","","",""
"CN4","SIM_Card","mc60_fp:conn_microSIM_320100004",""
"R1","100k","mc60_fp:R_0603",""
"R5","100k","mc60_fp:R_0603",""
"R10","22E","mc60_fp:R_0603",""
"R7","22E","mc60_fp:R_0603",""
"R6","22E","mc60_fp:R_0603",""
"C11","33pF","mc60_fp:C_0402_NoSilk",""
"C10","33pF","mc60_fp:C_0402_NoSilk",""
"C9","33pF","mc60_fp:C_0402_NoSilk",""
"C8","33pF","mc60_fp:C_0402_NoSilk",""
"CN1","Conn_GPS","mc60_fp:Molex_Microcoaxial_RF",""
"AE1","ANT_BT","mc60_fp:ant_bt_inpaq5036","","SR4W035","","","","","","","",""
"CN2","Conn_GNSS","mc60_fp:Molex_Microcoaxial_RF",""
"D4","RClamp0854P.TCT","mc60_fp:SLP1616P6",""
"Q1","DTC114E","mc60_fp:SOT-323_SC-70",""
"R8","390E","mc60_fp:R_0603",""
"D2","LED_NET","mc60_fp:LED_0603","","","754-1264-ND","http://www.digikey.com/product-detail/en/WP7113ID/754-1264-ND/1747663","LED SS 5MM 625NM RED DIFF","2V, 10mA","Round with Domed Top, 5mm, T-1 3/4","Kingbright Corp","WP7113ID","Digikey"
"Q2","DTC114E","mc60_fp:SOT-323_SC-70",""
"R9","270E","mc60_fp:R_0603",""
"D3","LED_FIX","mc60_fp:LED_0603","","","754-1264-ND","http://www.digikey.com/product-detail/en/WP7113ID/754-1264-ND/1747663","LED SS 5MM 625NM RED DIFF","2V, 10mA","Round with Domed Top, 5mm, T-1 3/4","Kingbright Corp","WP7113ID","Digikey"
"Q3","DTC114E","mc60_fp:SOT-323_SC-70",""
"U3","MIC29302","mc60_fp:TO-252-5_TabPin3","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP7142.pdf"
"C27","470uF","mc60_fp:CP_Elec_10x10",""
"C28","100nF","mc60_fp:C_0402_NoSilk",""
"R16","51k","mc60_fp:R_0603",""
"Q4","DTC143ZUA","mc60_fp:SOT-323_SC-70","","mfr_pn","","","","","","","",""
"R17","124k","mc60_fp:R_0603",""
"R19","56k","mc60_fp:R_0603",""
"C29","470uF","mc60_fp:CP_Elec_10x10",""
"C32","100nF","mc60_fp:C_0402_NoSilk",""
"R18","390E","mc60_fp:R_0603",""
"U4","LP5907-3V3","mc60_fp:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907-q1.pdf"
"C35","100uF","mc60_fp:CP_Elec_8x10.5",""
"C36","100nF","mc60_fp:C_0402_NoSilk",""
"R20","47k","mc60_fp:R_0603",""
"C38","10uF","mc60_fp:C_0805",""
"C39","100nF","mc60_fp:C_0402_NoSilk",""
"C30","470uF","mc60_fp:CP_Elec_10x10",""
"C33","33pF","mc60_fp:C_0402_NoSilk",""
"C34","10pF","mc60_fp:C_0402_NoSilk",""
"D8","LED_PWR","mc60_fp:LED_0603","","","754-1264-ND","http://www.digikey.com/product-detail/en/WP7113ID/754-1264-ND/1747663","LED SS 5MM 625NM RED DIFF","2V, 10mA","Round with Domed Top, 5mm, T-1 3/4","Kingbright Corp","WP7113ID","Digikey"
"C1","4u7","mc60_fp:C_0805",""
"C31","1uF","mc60_fp:C_0603",""
"C37","4u7","mc60_fp:C_0805",""
"D7","PDZVTR5.1B","mc60_fp:D_SOD-128",""
"R11","0E","mc60_fp:R_0402_NoSilk",""
"U5","LP5907-2V8","mc60_fp:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907-q1.pdf"
"C40","100uF","mc60_fp:CP_Elec_8x10.5",""
